date,site,latitude,longitude,chl,temp,turb,tp,discharge_nemadji,discharge_brule,airtemp_buoy,watertemp,airtemp_wing,windspeed_lake,winddir_lake,airtemp_slre,windspeed_slre,winddir_slre,precip_slre,year
2020-06-09,lksba,46.721772,-92.06352,,17.16875,7.458333333333334,,104,155,,,8.006293706293706,4.194405594405594,63.356643356643325,10.521875,1.7260416666666667,89.75,0,2020
2020-06-10,lksba,46.721772,-92.06352,,17.05,8.760416666666668,,97.5,158,,,11.57902097902098,4.466433566433566,205.64335664335664,15.741666666666667,4.033333333333333,281.94791666666663,0,2020
2020-06-11,lksba,46.721772,-92.06352,,16.436458333333334,6.083333333333334,,93.5,155,,,13.376223776223776,4.999300699300699,259.93706293706293,15.428125,2.7416666666666667,253.0625,0,2020
2020-06-12,lksba,46.721772,-92.06352,,16.60625,5.1875,,89.2,152,,,10.84125874125874,3.295104895104894,66.51748251748246,11.035416666666666,1.65625,98.0625,0,2020
2020-06-13,lksba,46.721772,-92.06352,,17.122916666666665,5.84375,,85.3,148,,,8.078321678321679,4.885314685314686,70.33566433566433,9.177083333333332,1.9010416666666663,105.23958333333331,0,2020
2020-06-14,lksba,46.721772,-92.06352,,16.744791666666668,6.052083333333334,,81,146,,,8.781818181818181,3.844055944055945,85.88732394366194,9.666666666666666,1.7645833333333332,90.5,0,2020
2020-06-15,lksba,46.721772,-92.06352,,16.880208333333332,7.260416666666668,,77.2,145,,,12.55378787878788,3.167832167832169,110.25174825174824,13.236458333333331,1.359375,103.80208333333334,0,2020
2020-06-16,lksba,46.721772,-92.06352,,17.347916666666666,11.34375,,73.8,144,,,12.126923076923076,3.024475524475524,88.02797202797201,19.186458333333334,1.7552083333333333,157.15625,0,2020
2020-06-17,lksba,46.721772,-92.06352,,18.448958333333337,9.927083333333332,,70.9,142,,,20.89753086419753,3.728671328671329,152.87412587412587,19.808333333333337,1.834375,147.14583333333334,0,2020
2020-06-18,Mawikwe Bay,46.8858,-91.0527,0.369,,,0.006163826,67.1,140,,,20.851764705882353,2.827272727272727,134.58741258741262,17.177083333333332,1.0614583333333334,119.125,0,2020
2020-06-18,lksba,46.721772,-92.06352,,18.958333333333332,10.875,,67.1,140,,,20.851764705882353,2.827272727272727,134.58741258741262,17.177083333333332,1.0614583333333334,119.125,0,2020
2020-06-19,lksba,46.721772,-92.06352,,18.93125,11.90625,,66,139,,,17.813986013986014,3.483916083916084,240.98601398601403,19.842708333333334,2.265625,271.09375,0,2020
2020-06-20,lksba,46.721772,-92.06352,,19.333333333333332,11.447916666666666,,62.2,139,,,14.706293706293708,3.0615384615384618,122.75524475524496,14.657291666666666,1.0635416666666666,127.38541666666664,0,2020
2020-06-21,lksba,46.721772,-92.06352,,19.639583333333334,12.53125,,61,141,,,13.8921875,2.1594405594405592,144.3566433566433,16.325,1.490625,192.80208333333337,0,2020
2020-06-22,lksba,46.721772,-92.06352,,20.065625,12.177083333333332,,60.1,139,,,15.800699300699302,2.290909090909091,233.18181818181824,17.484375,1.4322916666666667,180.51041666666669,0,2020
2020-06-23,lksba,46.721772,-92.06352,,20.209375,11.4375,,57.7,136,,,16.61188811188811,1.5846153846153843,223.97902097902104,18.769791666666663,2.0999999999999996,134.11458333333331,0,2020
